nombre_entidad;tipo
Unex Billetera Capital y Cobranzas S.A.S.;BILLETERA
URBANA PSP S.A.S.;BILLETERA
Vamos Pago S.R.L.;BILLETERA
Veriil SRL;BILLETERA
VEXIPAY SAS;BILLETERA
VITA WALLET S.A;BILLETERA
WAYA;BILLETERA
WAYNICOIN S.A.;BILLETERA
WIBOND SAS;BILLETERA
WICO CREDITOS S.A.;BILLETERA
WML Technologies S.A.;BILLETERA
WREXATEC S.A.;BILLETERA
XCARD ARGENTINA S.A.U.;BILLETERA
Xcoop Argentina SA;BILLETERA
YONT S.A.;BILLETERA
YPF Digital SAU;BILLETERA
ACTUAL S.A.;RETAIL
ADANCARD S.A.;RETAIL
ALARFIN S.A.;RETAIL
AMERICAN EXPRESS ARGENTINA S.A.;RETAIL
Ank Platform S.A.;RETAIL
ARECOCARD S.A.;RETAIL
ARMEP SA;RETAIL
ASOC MUT AYUDA ASOC ADHER CLUB ATL UNION;RETAIL
ASOC MUT CONSEJ ARROYOS COOP EMP MULTIPL;RETAIL
ASOC. MUTUAL DEL CLUB ALMAFUERTE DE LAS VARILLAS;RETAIL
Asociación Mutual 20 de Julio;RETAIL
ASOCIACION MUTUAL CLUB ATLETICO PILAR;RETAIL
ASOCIACION MUTUAL CLUB COLON DE SAN JUSTO;RETAIL
Asociacion Mutual Club Social Deportivo Ascension;RETAIL
ASOCIACION MUTUAL DE ASOCIADOS Y ADHERENTES DEL CENTRO JUVENIL SPORTIVO BELGRANO;RETAIL
Asociación Mutual de Ayuda entre Asociados y Adherentes del Club Atlético Libertad.;RETAIL
Asociación Mutual de Ayuda entre Asociados y Adherentes del Club Deportivo Libertad;RETAIL
ASOCIACION MUTUAL DEL CLUB A. ARGENTINO;RETAIL
Asociación Mutual del Personal Jerárquico de Bancos Oficiales Nacionales;RETAIL
ASOCIACIÓN MUTUAL ENTRE SOCIOS DEL CENTRO ECONÓMICO DE CAÑADA DE GÓMEZ;RETAIL
ASOCIACION MUTUAL INTEGRAL DE CONSUMOS Y SERVICIOS (AMINT);RETAIL
ASOCIACION MUTUAL PYME RURAL;RETAIL
ASOCIACION MUTUAL SANTA AGUSTINA;RETAIL
ASOCIACION MUTUAL VENADO TUERTO;RETAIL
